gcp_label,image_file_name,x,y,lon,lat,elev,lon_acc,lat_acc,elev_acc
ice1,F-9451.tif,6973.46,2067.32,-19.31349,63.5302,454.79,2,2,1
ice1,F-9452.tif,11850.25,2019.16,-19.31349,63.5302,454.79,2,2,1
ice2,F-9451.tif,7351.49,10097.46,-19.30559,63.46842,97.36,2,2,1
ice2,F-9452.tif,11889.05,10082.39,-19.30559,63.46842,97.36,2,2,1
ice3,F-9446.tif,3312.13,1692.84,-18.96754,63.53548,692.7,2,2,1
ice3,F-9447.tif,8504.33,1634.78,-18.96754,63.53548,692.7,2,2,1
ice4,F-9446.tif,2473.16,9944.24,-18.98201,63.4732,157.57,2,2,1
ice4,F-9447.tif,7276.1,9937.98,-18.98201,63.4732,157.57,2,2,1
ice5,F-9439.tif,2566.75,2547.54,-18.40852,63.53311,94.51,2,2,1
ice5,F-9440.tif,7300.55,2602.03,-18.40852,63.53311,94.51,2,2,1
ice6,F-9438.tif,3372.31,8502.93,-18.32118,63.48372,79.43,2,2,1
ice6,F-9439.tif,7839.14,8574.08,-18.32118,63.48372,79.43,2,2,1
ice7,F-9397.tif,6533.07,5371.25,-18.00309,63.62858,78.3,2,2,1
ice7,F-9398.tif,10431.42,4884.94,-18.00309,63.62858,78.3,2,2,1
ice8,F-9400.tif,4284.8,1842.35,-18.24005,63.65613,107.64,2,2,1
ice8,F-9401.tif,8108.78,2057.58,-18.24005,63.65613,107.64,2,2,1
ice9,F-9400.tif,5153.84,7542.24,-18.23272,63.61096,94.31,2,2,1
ice9,F-9401.tif,8875.03,7755.78,-18.23272,63.61096,94.31,2,2,1
ice10,F-9417.tif,4138.38,9920.94,-18.95918,63.59652,1042.56,2,2,1
ice10,F-9418.tif,8389.67,9610.18,-18.95918,63.59652,1042.56,2,2,1
ice11,F-9357.tif,7432.67,7800.62,-19.18401,63.71511,1221.18,2,2,1
ice11,F-9366.tif,11433.73,10739.06,-19.18401,63.71511,1221.18,2,2,1
ice12,F-9357.tif,1456.31,8576.5,-19.27488,63.71139,1171.33,2,2,1
ice12,F-9366.tif,4348.72,11482.88,-19.27488,63.71139,1171.33,2,2,1
ice13,F-9339.tif,4031.54,2215.3,-18.87871,63.75278,760.95,2,2,1
ice13,F-9340.tif,8712.2,2009.28,-18.87871,63.75278,760.95,2,2,1
ice14,F-9334.tif,2466.02,6667.68,-18.9071,63.72165,777.33,2,2,1
ice14,F-9340.tif,7144.17,6497.22,-18.9071,63.72165,777.33,2,2,1
ice15,F-9303.tif,4671.48,10697.66,-18.78312,63.81635,565.83,2,2,1
ice15,F-9304.tif,8681.22,10836.66,-18.78312,63.81635,565.83,2,2,1
ice16,F-9310.tif,3707.97,11230.98,-18.2366,63.82814,358.01,2,2,1
ice16,F-9311.tif,8127.71,11211.04,-18.2366,63.82814,358.01,2,2,1
ice17,F-9310.tif,4466.17,788.7,-18.24248,63.74751,145.53,2,2,1
ice17,F-9311.tif,8909.64,761.45,-18.24248,63.74751,145.53,2,2,1
ice18,F-9315.tif,5660.7,11173.45,-17.87393,63.82957,87.28,2,2,1
ice18,F-9316.tif,10067.77,11216.36,-17.87393,63.82957,87.28,2,2,1
